iter	Passed	Remaining
399	764	1146
400	765	1143
401	766	1140
402	768	1138
403	769	1135
404	770	1132
405	772	1129
406	773	1126
407	774	1123
408	775	1120
409	776	1117
410	778	1115
411	779	1112
412	780	1109
413	782	1107
414	783	1104
415	784	1101
416	785	1098
417	787	1096
418	788	1093
419	789	1090
420	790	1087
421	792	1085
422	793	1082
423	795	1080
424	796	1077
425	797	1074
426	798	1072
427	800	1069
428	801	1066
429	802	1064
430	804	1061
431	805	1059
432	807	1056
433	808	1054
434	809	1051
435	811	1049
436	812	1046
437	813	1044
438	815	1041
439	816	1039
440	817	1036
441	819	1034
442	820	1031
443	822	1029
444	823	1027
445	824	1024
446	826	1022
447	827	1019
448	829	1017
449	830	1014
450	831	1012
451	832	1009
452	834	1007
453	835	1004
454	836	1002
